cell,rep,method,arm,weight,secs,nfail,nrej,fdp,tpr,tprP,typeI,replica_corr
2001,3,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,3,wilcoxon,A0,none,0.1,0,9,0.0,0.9,0.9,0.06666666666666667,
2001,3,wilcoxon,A1,none,,0,9,0.0,0.9,0.9,0.07777777777777778,
2001,3,wilcoxon,A2,Wdet,,0,9,0.0,0.9,0.9,,
2001,3,wilcoxon,A2,Winfo,,0,10,0.1,0.9,0.9,,
2001,3,linda,A0,none,3.4,0,11,0.09090909090909091,1.0,1.0,0.044444444444444446,0.9984901954606701
2001,3,linda,A1,none,,0,12,0.16666666666666666,1.0,1.0,0.07777777777777778,
2001,3,linda,A2,Wdet,,0,11,0.09090909090909091,1.0,1.0,,
2001,3,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,3,zinq,A0,none,5.4,3,14,0.2857142857142857,1.0,1.0,0.11494252873563218,
2001,3,zinq,A2,Wdet,,3,14,0.2857142857142857,1.0,1.0,,
2001,3,zinq,A2,Winfo,,3,14,0.2857142857142857,1.0,1.0,,
2001,3,locom,A1n,none,45.7,59,6,0.0,0.6,0.6,0.0967741935483871,
2001,3,locom,A2,Wdet,,59,6,0.0,0.6,0.6,,
2001,3,locom,A2,Winfo,,59,6,0.0,0.6,0.6,,
2001,4,twochannel,A1,none,50.1,0,11,0.09090909090909091,1.0,1.0,0.06666666666666667,
2001,4,twochannel,A2,Wdet,,0,12,0.16666666666666666,1.0,1.0,,
2001,4,twochannel,A2,Winfo,,0,12,0.16666666666666666,1.0,1.0,,
2001,4,wilcoxon,A0,none,0.1,0,12,0.25,0.9,0.9,0.08888888888888889,
2001,4,wilcoxon,A1,none,,0,12,0.25,0.9,0.9,0.08888888888888889,
2001,4,wilcoxon,A2,Wdet,,0,11,0.18181818181818182,0.9,0.9,,
2001,4,wilcoxon,A2,Winfo,,0,13,0.3076923076923077,0.9,0.9,,
2001,4,linda,A0,none,3.2,0,12,0.16666666666666666,1.0,1.0,0.06666666666666667,0.998860179965119
2001,4,linda,A1,none,,0,12,0.16666666666666666,1.0,1.0,0.13333333333333333,
2001,4,linda,A2,Wdet,,0,12,0.16666666666666666,1.0,1.0,,
2001,4,linda,A2,Winfo,,0,12,0.16666666666666666,1.0,1.0,,
2001,4,zinq,A0,none,4.8,3,12,0.16666666666666666,1.0,1.0,0.09195402298850575,
2001,4,zinq,A2,Wdet,,3,12,0.16666666666666666,1.0,1.0,,
2001,4,zinq,A2,Winfo,,3,16,0.375,1.0,1.0,,
2001,4,locom,A1n,none,15.0,67,9,0.1111111111111111,0.8,0.8,0.043478260869565216,
2001,4,locom,A2,Wdet,,67,8,0.0,0.8,0.8,,
2001,4,locom,A2,Winfo,,67,9,0.1111111111111111,0.8,0.8,,
2001,5,twochannel,A1,none,46.2,0,12,0.16666666666666666,1.0,1.0,0.07777777777777778,
2001,5,twochannel,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,5,twochannel,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,5,wilcoxon,A0,none,0.1,0,10,0.0,1.0,1.0,0.044444444444444446,
2001,5,wilcoxon,A1,none,,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,5,wilcoxon,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,5,wilcoxon,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,5,linda,A0,none,2.7,0,10,0.0,1.0,1.0,0.011111111111111112,0.9978243145154466
2001,5,linda,A1,none,,0,10,0.0,1.0,1.0,0.03333333333333333,
2001,5,linda,A2,Wdet,,0,10,0.0,1.0,1.0,,
2001,5,linda,A2,Winfo,,0,10,0.0,1.0,1.0,,
2001,5,zinq,A0,none,3.8,1,10,0.0,1.0,1.0,0.02247191011235955,
2001,5,zinq,A2,Wdet,,1,10,0.0,1.0,1.0,,
2001,5,zinq,A2,Winfo,,1,11,0.09090909090909091,1.0,1.0,,
2001,5,locom,A1n,none,73.3,63,6,0.16666666666666666,0.5,0.5,0.14814814814814814,
